Search_method Problem Max_evals Run Score
hill_climber_with_restarts knapPI_11_20_1000_4 100000 0 1440
hill_climber_with_restarts knapPI_11_20_1000_4 100000 1 1440
hill_climber_with_restarts knapPI_11_20_1000_4 100000 2 1440
hill_climber_with_restarts knapPI_11_20_1000_4 100000 3 1440
hill_climber_with_restarts knapPI_11_20_1000_4 100000 4 1440
hill_climber_with_restarts knapPI_11_20_1000_4 100000 5 1440
hill_climber_with_restarts knapPI_11_20_1000_4 100000 6 1440
hill_climber_with_restarts knapPI_11_20_1000_4 100000 7 1440
hill_climber_with_restarts knapPI_11_20_1000_4 100000 8 1440
hill_climber_with_restarts knapPI_11_20_1000_4 100000 9 1440
hill_climber_with_restarts knapPI_11_20_1000_4 100000 10 1440
hill_climber_with_restarts knapPI_11_20_1000_4 100000 11 1440
hill_climber_with_restarts knapPI_11_20_1000_4 100000 12 1440
hill_climber_with_restarts knapPI_11_20_1000_4 100000 13 1440
hill_climber_with_restarts knapPI_11_20_1000_4 100000 14 1440
hill_climber_with_restarts knapPI_11_20_1000_4 100000 15 1440
hill_climber_with_restarts knapPI_11_20_1000_4 100000 16 1440
hill_climber_with_restarts knapPI_11_20_1000_4 100000 17 1440
hill_climber_with_restarts knapPI_11_20_1000_4 100000 18 1440
hill_climber_with_restarts knapPI_11_20_1000_4 100000 19 1440
hill_climber_with_restarts knapPI_11_20_1000_4 100000 20 1440
hill_climber_with_restarts knapPI_11_20_1000_4 100000 21 1440
hill_climber_with_restarts knapPI_11_20_1000_4 100000 22 1440
hill_climber_with_restarts knapPI_11_20_1000_4 100000 23 1440
hill_climber_with_restarts knapPI_11_20_1000_4 100000 24 1440
hill_climber_with_restarts knapPI_11_20_1000_4 100000 25 1440
hill_climber_with_restarts knapPI_11_20_1000_4 100000 26 1440
hill_climber_with_restarts knapPI_11_20_1000_4 100000 27 1440
hill_climber_with_restarts knapPI_11_20_1000_4 100000 28 1440
hill_climber_with_restarts knapPI_11_20_1000_4 100000 29 1440
hill_climber_with_restarts knapPI_13_20_1000_4 100000 0 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 1 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 2 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 3 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 4 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 5 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 6 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 7 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 8 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 9 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 10 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 11 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 12 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 13 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 14 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 15 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 16 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 17 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 18 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 19 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 20 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 21 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 22 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 23 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 24 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 25 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 26 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 27 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 28 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 29 907
hill_climber_with_restarts knapPI_16_20_1000_4 100000 0 2893
hill_climber_with_restarts knapPI_16_20_1000_4 100000 1 2893
hill_climber_with_restarts knapPI_16_20_1000_4 100000 2 2864
hill_climber_with_restarts knapPI_16_20_1000_4 100000 3 2886
hill_climber_with_restarts knapPI_16_20_1000_4 100000 4 2893
hill_climber_with_restarts knapPI_16_20_1000_4 100000 5 2893
hill_climber_with_restarts knapPI_16_20_1000_4 100000 6 2893
hill_climber_with_restarts knapPI_16_20_1000_4 100000 7 2864
hill_climber_with_restarts knapPI_16_20_1000_4 100000 8 2893
hill_climber_with_restarts knapPI_16_20_1000_4 100000 9 2893
hill_climber_with_restarts knapPI_16_20_1000_4 100000 10 2893
hill_climber_with_restarts knapPI_16_20_1000_4 100000 11 2886
hill_climber_with_restarts knapPI_16_20_1000_4 100000 12 2893
hill_climber_with_restarts knapPI_16_20_1000_4 100000 13 2886
hill_climber_with_restarts knapPI_16_20_1000_4 100000 14 2893
hill_climber_with_restarts knapPI_16_20_1000_4 100000 15 2893
hill_climber_with_restarts knapPI_16_20_1000_4 100000 16 2893
hill_climber_with_restarts knapPI_16_20_1000_4 100000 17 2886
hill_climber_with_restarts knapPI_16_20_1000_4 100000 18 2886
hill_climber_with_restarts knapPI_16_20_1000_4 100000 19 2886
hill_climber_with_restarts knapPI_16_20_1000_4 100000 20 2893
hill_climber_with_restarts knapPI_16_20_1000_4 100000 21 2886
hill_climber_with_restarts knapPI_16_20_1000_4 100000 22 2893
hill_climber_with_restarts knapPI_16_20_1000_4 100000 23 2886
hill_climber_with_restarts knapPI_16_20_1000_4 100000 24 2893
hill_climber_with_restarts knapPI_16_20_1000_4 100000 25 2893
hill_climber_with_restarts knapPI_16_20_1000_4 100000 26 2893
hill_climber_with_restarts knapPI_16_20_1000_4 100000 27 2893
hill_climber_with_restarts knapPI_16_20_1000_4 100000 28 2893
hill_climber_with_restarts knapPI_16_20_1000_4 100000 29 2893
hill_climber_with_restarts knapPI_11_200_1000_4 100000 0 5180
hill_climber_with_restarts knapPI_11_200_1000_4 100000 1 5140
hill_climber_with_restarts knapPI_11_200_1000_4 100000 2 5140
hill_climber_with_restarts knapPI_11_200_1000_4 100000 3 5140
hill_climber_with_restarts knapPI_11_200_1000_4 100000 4 5180
hill_climber_with_restarts knapPI_11_200_1000_4 100000 5 5180
hill_climber_with_restarts knapPI_11_200_1000_4 100000 6 5140
hill_climber_with_restarts knapPI_11_200_1000_4 100000 7 5180
hill_climber_with_restarts knapPI_11_200_1000_4 100000 8 5140
hill_climber_with_restarts knapPI_11_200_1000_4 100000 9 5180
hill_climber_with_restarts knapPI_11_200_1000_4 100000 10 5140
hill_climber_with_restarts knapPI_11_200_1000_4 100000 11 5180
hill_climber_with_restarts knapPI_11_200_1000_4 100000 12 5180
hill_climber_with_restarts knapPI_11_200_1000_4 100000 13 5180
hill_climber_with_restarts knapPI_11_200_1000_4 100000 14 5180
hill_climber_with_restarts knapPI_11_200_1000_4 100000 15 5180
hill_climber_with_restarts knapPI_11_200_1000_4 100000 16 5180
hill_climber_with_restarts knapPI_11_200_1000_4 100000 17 5180
hill_climber_with_restarts knapPI_11_200_1000_4 100000 18 5140
hill_climber_with_restarts knapPI_11_200_1000_4 100000 19 5180
hill_climber_with_restarts knapPI_11_200_1000_4 100000 20 5180
hill_climber_with_restarts knapPI_11_200_1000_4 100000 21 5180
hill_climber_with_restarts knapPI_11_200_1000_4 100000 22 5140
hill_climber_with_restarts knapPI_11_200_1000_4 100000 23 5180
hill_climber_with_restarts knapPI_11_200_1000_4 100000 24 5180
hill_climber_with_restarts knapPI_11_200_1000_4 100000 25 5180
hill_climber_with_restarts knapPI_11_200_1000_4 100000 26 5140
hill_climber_with_restarts knapPI_11_200_1000_4 100000 27 5180
hill_climber_with_restarts knapPI_11_200_1000_4 100000 28 5140
hill_climber_with_restarts knapPI_11_200_1000_4 100000 29 5180
hill_climber_with_restarts knapPI_13_200_1000_4 100000 0 3663
hill_climber_with_restarts knapPI_13_200_1000_4 100000 1 3663
hill_climber_with_restarts knapPI_13_200_1000_4 100000 2 3663
hill_climber_with_restarts knapPI_13_200_1000_4 100000 3 3663
hill_climber_with_restarts knapPI_13_200_1000_4 100000 4 3663
hill_climber_with_restarts knapPI_13_200_1000_4 100000 5 3663
hill_climber_with_restarts knapPI_13_200_1000_4 100000 6 3663
hill_climber_with_restarts knapPI_13_200_1000_4 100000 7 3663
hill_climber_with_restarts knapPI_13_200_1000_4 100000 8 3663
hill_climber_with_restarts knapPI_13_200_1000_4 100000 9 3663
hill_climber_with_restarts knapPI_13_200_1000_4 100000 10 3663
hill_climber_with_restarts knapPI_13_200_1000_4 100000 11 3663
hill_climber_with_restarts knapPI_13_200_1000_4 100000 12 3663
hill_climber_with_restarts knapPI_13_200_1000_4 100000 13 3663
hill_climber_with_restarts knapPI_13_200_1000_4 100000 14 3663
hill_climber_with_restarts knapPI_13_200_1000_4 100000 15 3663
hill_climber_with_restarts knapPI_13_200_1000_4 100000 16 3663
hill_climber_with_restarts knapPI_13_200_1000_4 100000 17 3663
hill_climber_with_restarts knapPI_13_200_1000_4 100000 18 3663
hill_climber_with_restarts knapPI_13_200_1000_4 100000 19 3663
hill_climber_with_restarts knapPI_13_200_1000_4 100000 20 3663
hill_climber_with_restarts knapPI_13_200_1000_4 100000 21 3663
hill_climber_with_restarts knapPI_13_200_1000_4 100000 22 3663
hill_climber_with_restarts knapPI_13_200_1000_4 100000 23 3663
hill_climber_with_restarts knapPI_13_200_1000_4 100000 24 3663
hill_climber_with_restarts knapPI_13_200_1000_4 100000 25 3663
hill_climber_with_restarts knapPI_13_200_1000_4 100000 26 3663
hill_climber_with_restarts knapPI_13_200_1000_4 100000 27 3663
hill_climber_with_restarts knapPI_13_200_1000_4 100000 28 3663
hill_climber_with_restarts knapPI_13_200_1000_4 100000 29 3663
hill_climber_with_restarts knapPI_16_200_1000_4 100000 0 14751
hill_climber_with_restarts knapPI_16_200_1000_4 100000 1 14806
hill_climber_with_restarts knapPI_16_200_1000_4 100000 2 14906
hill_climber_with_restarts knapPI_16_200_1000_4 100000 3 14618
hill_climber_with_restarts knapPI_16_200_1000_4 100000 4 15098
hill_climber_with_restarts knapPI_16_200_1000_4 100000 5 15289
hill_climber_with_restarts knapPI_16_200_1000_4 100000 6 14435
hill_climber_with_restarts knapPI_16_200_1000_4 100000 7 15047
hill_climber_with_restarts knapPI_16_200_1000_4 100000 8 14578
hill_climber_with_restarts knapPI_16_200_1000_4 100000 9 14884
hill_climber_with_restarts knapPI_16_200_1000_4 100000 10 14977
hill_climber_with_restarts knapPI_16_200_1000_4 100000 11 15248
hill_climber_with_restarts knapPI_16_200_1000_4 100000 12 14777
hill_climber_with_restarts knapPI_16_200_1000_4 100000 13 14955
hill_climber_with_restarts knapPI_16_200_1000_4 100000 14 14820
hill_climber_with_restarts knapPI_16_200_1000_4 100000 15 15243
hill_climber_with_restarts knapPI_16_200_1000_4 100000 16 14556
hill_climber_with_restarts knapPI_16_200_1000_4 100000 17 14605
hill_climber_with_restarts knapPI_16_200_1000_4 100000 18 14983
hill_climber_with_restarts knapPI_16_200_1000_4 100000 19 15242
hill_climber_with_restarts knapPI_16_200_1000_4 100000 20 14939
hill_climber_with_restarts knapPI_16_200_1000_4 100000 21 14929
hill_climber_with_restarts knapPI_16_200_1000_4 100000 22 14798
hill_climber_with_restarts knapPI_16_200_1000_4 100000 23 14523
hill_climber_with_restarts knapPI_16_200_1000_4 100000 24 14831
hill_climber_with_restarts knapPI_16_200_1000_4 100000 25 14846
hill_climber_with_restarts knapPI_16_200_1000_4 100000 26 15020
hill_climber_with_restarts knapPI_16_200_1000_4 100000 27 15053
hill_climber_with_restarts knapPI_16_200_1000_4 100000 28 14791
hill_climber_with_restarts knapPI_16_200_1000_4 100000 29 14855
hill_climber knapPI_11_20_1000_4 100000 0 1400
hill_climber knapPI_11_20_1000_4 100000 1 1400
hill_climber knapPI_11_20_1000_4 100000 2 1440
hill_climber knapPI_11_20_1000_4 100000 3 1440
hill_climber knapPI_11_20_1000_4 100000 4 1400
hill_climber knapPI_11_20_1000_4 100000 5 1440
hill_climber knapPI_11_20_1000_4 100000 6 1400
hill_climber knapPI_11_20_1000_4 100000 7 1440
hill_climber knapPI_11_20_1000_4 100000 8 1440
hill_climber knapPI_11_20_1000_4 100000 9 1440
hill_climber knapPI_11_20_1000_4 100000 10 1440
hill_climber knapPI_11_20_1000_4 100000 11 1440
hill_climber knapPI_11_20_1000_4 100000 12 1440
hill_climber knapPI_11_20_1000_4 100000 13 1440
hill_climber knapPI_11_20_1000_4 100000 14 1400
hill_climber knapPI_11_20_1000_4 100000 15 1440
hill_climber knapPI_11_20_1000_4 100000 16 1440
hill_climber knapPI_11_20_1000_4 100000 17 1440
hill_climber knapPI_11_20_1000_4 100000 18 1440
hill_climber knapPI_11_20_1000_4 100000 19 1400
hill_climber knapPI_11_20_1000_4 100000 20 1440
hill_climber knapPI_11_20_1000_4 100000 21 1440
hill_climber knapPI_11_20_1000_4 100000 22 1440
hill_climber knapPI_11_20_1000_4 100000 23 1440
hill_climber knapPI_11_20_1000_4 100000 24 1440
hill_climber knapPI_11_20_1000_4 100000 25 1440
hill_climber knapPI_11_20_1000_4 100000 26 1440
hill_climber knapPI_11_20_1000_4 100000 27 1440
hill_climber knapPI_11_20_1000_4 100000 28 1440
hill_climber knapPI_11_20_1000_4 100000 29 1400
hill_climber knapPI_13_20_1000_4 100000 0 907
hill_climber knapPI_13_20_1000_4 100000 1 907
hill_climber knapPI_13_20_1000_4 100000 2 907
hill_climber knapPI_13_20_1000_4 100000 3 907
hill_climber knapPI_13_20_1000_4 100000 4 907
hill_climber knapPI_13_20_1000_4 100000 5 907
hill_climber knapPI_13_20_1000_4 100000 6 907
hill_climber knapPI_13_20_1000_4 100000 7 907
hill_climber knapPI_13_20_1000_4 100000 8 907
hill_climber knapPI_13_20_1000_4 100000 9 907
hill_climber knapPI_13_20_1000_4 100000 10 907
hill_climber knapPI_13_20_1000_4 100000 11 907
hill_climber knapPI_13_20_1000_4 100000 12 907
hill_climber knapPI_13_20_1000_4 100000 13 907
hill_climber knapPI_13_20_1000_4 100000 14 907
hill_climber knapPI_13_20_1000_4 100000 15 907
hill_climber knapPI_13_20_1000_4 100000 16 907
hill_climber knapPI_13_20_1000_4 100000 17 907
hill_climber knapPI_13_20_1000_4 100000 18 907
hill_climber knapPI_13_20_1000_4 100000 19 907
hill_climber knapPI_13_20_1000_4 100000 20 907
hill_climber knapPI_13_20_1000_4 100000 21 907
hill_climber knapPI_13_20_1000_4 100000 22 907
hill_climber knapPI_13_20_1000_4 100000 23 907
hill_climber knapPI_13_20_1000_4 100000 24 907
hill_climber knapPI_13_20_1000_4 100000 25 907
hill_climber knapPI_13_20_1000_4 100000 26 907
hill_climber knapPI_13_20_1000_4 100000 27 907
hill_climber knapPI_13_20_1000_4 100000 28 907
hill_climber knapPI_13_20_1000_4 100000 29 907
hill_climber knapPI_16_20_1000_4 100000 0 2724
hill_climber knapPI_16_20_1000_4 100000 1 2702
hill_climber knapPI_16_20_1000_4 100000 2 2724
hill_climber knapPI_16_20_1000_4 100000 3 2724
hill_climber knapPI_16_20_1000_4 100000 4 2864
hill_climber knapPI_16_20_1000_4 100000 5 2893
hill_climber knapPI_16_20_1000_4 100000 6 2724
hill_climber knapPI_16_20_1000_4 100000 7 2864
hill_climber knapPI_16_20_1000_4 100000 8 2724
hill_climber knapPI_16_20_1000_4 100000 9 2893
hill_climber knapPI_16_20_1000_4 100000 10 2886
hill_climber knapPI_16_20_1000_4 100000 11 2731
hill_climber knapPI_16_20_1000_4 100000 12 2886
hill_climber knapPI_16_20_1000_4 100000 13 2702
hill_climber knapPI_16_20_1000_4 100000 14 2724
hill_climber knapPI_16_20_1000_4 100000 15 2731
hill_climber knapPI_16_20_1000_4 100000 16 2864
hill_climber knapPI_16_20_1000_4 100000 17 2864
hill_climber knapPI_16_20_1000_4 100000 18 2864
hill_climber knapPI_16_20_1000_4 100000 19 2724
hill_climber knapPI_16_20_1000_4 100000 20 2731
hill_climber knapPI_16_20_1000_4 100000 21 2702
hill_climber knapPI_16_20_1000_4 100000 22 2886
hill_climber knapPI_16_20_1000_4 100000 23 2893
hill_climber knapPI_16_20_1000_4 100000 24 2702
hill_climber knapPI_16_20_1000_4 100000 25 2864
hill_climber knapPI_16_20_1000_4 100000 26 2864
hill_climber knapPI_16_20_1000_4 100000 27 2886
hill_climber knapPI_16_20_1000_4 100000 28 2886
hill_climber knapPI_16_20_1000_4 100000 29 2893
hill_climber knapPI_11_200_1000_4 100000 0 5140
hill_climber knapPI_11_200_1000_4 100000 1 5180
hill_climber knapPI_11_200_1000_4 100000 2 5180
hill_climber knapPI_11_200_1000_4 100000 3 5140
hill_climber knapPI_11_200_1000_4 100000 4 5100
hill_climber knapPI_11_200_1000_4 100000 5 5100
hill_climber knapPI_11_200_1000_4 100000 6 5060
hill_climber knapPI_11_200_1000_4 100000 7 5140
hill_climber knapPI_11_200_1000_4 100000 8 5140
hill_climber knapPI_11_200_1000_4 100000 9 5140
hill_climber knapPI_11_200_1000_4 100000 10 5020
hill_climber knapPI_11_200_1000_4 100000 11 5180
hill_climber knapPI_11_200_1000_4 100000 12 5100
hill_climber knapPI_11_200_1000_4 100000 13 5020
hill_climber knapPI_11_200_1000_4 100000 14 5140
hill_climber knapPI_11_200_1000_4 100000 15 5060
hill_climber knapPI_11_200_1000_4 100000 16 5060
hill_climber knapPI_11_200_1000_4 100000 17 5140
hill_climber knapPI_11_200_1000_4 100000 18 5180
hill_climber knapPI_11_200_1000_4 100000 19 5180
hill_climber knapPI_11_200_1000_4 100000 20 5180
hill_climber knapPI_11_200_1000_4 100000 21 5100
hill_climber knapPI_11_200_1000_4 100000 22 5140
hill_climber knapPI_11_200_1000_4 100000 23 5140
hill_climber knapPI_11_200_1000_4 100000 24 5140
hill_climber knapPI_11_200_1000_4 100000 25 5140
hill_climber knapPI_11_200_1000_4 100000 26 5060
hill_climber knapPI_11_200_1000_4 100000 27 5140
hill_climber knapPI_11_200_1000_4 100000 28 5100
hill_climber knapPI_11_200_1000_4 100000 29 5100
hill_climber knapPI_13_200_1000_4 100000 0 3663
hill_climber knapPI_13_200_1000_4 100000 1 3663
hill_climber knapPI_13_200_1000_4 100000 2 3663
hill_climber knapPI_13_200_1000_4 100000 3 3663
hill_climber knapPI_13_200_1000_4 100000 4 3620
hill_climber knapPI_13_200_1000_4 100000 5 3663
hill_climber knapPI_13_200_1000_4 100000 6 3637
hill_climber knapPI_13_200_1000_4 100000 7 3663
hill_climber knapPI_13_200_1000_4 100000 8 3663
hill_climber knapPI_13_200_1000_4 100000 9 3663
hill_climber knapPI_13_200_1000_4 100000 10 3663
hill_climber knapPI_13_200_1000_4 100000 11 3663
hill_climber knapPI_13_200_1000_4 100000 12 3637
hill_climber knapPI_13_200_1000_4 100000 13 3663
hill_climber knapPI_13_200_1000_4 100000 14 3663
hill_climber knapPI_13_200_1000_4 100000 15 3663
hill_climber knapPI_13_200_1000_4 100000 16 3663
hill_climber knapPI_13_200_1000_4 100000 17 3663
hill_climber knapPI_13_200_1000_4 100000 18 3637
hill_climber knapPI_13_200_1000_4 100000 19 3663
hill_climber knapPI_13_200_1000_4 100000 20 3663
hill_climber knapPI_13_200_1000_4 100000 21 3663
hill_climber knapPI_13_200_1000_4 100000 22 3637
hill_climber knapPI_13_200_1000_4 100000 23 3637
hill_climber knapPI_13_200_1000_4 100000 24 3620
hill_climber knapPI_13_200_1000_4 100000 25 3663
hill_climber knapPI_13_200_1000_4 100000 26 3663
hill_climber knapPI_13_200_1000_4 100000 27 3637
hill_climber knapPI_13_200_1000_4 100000 28 3663
hill_climber knapPI_13_200_1000_4 100000 29 3663
hill_climber knapPI_16_200_1000_4 100000 0 14956
hill_climber knapPI_16_200_1000_4 100000 1 14487
hill_climber knapPI_16_200_1000_4 100000 2 14705
hill_climber knapPI_16_200_1000_4 100000 3 14606
hill_climber knapPI_16_200_1000_4 100000 4 13998
hill_climber knapPI_16_200_1000_4 100000 5 14684
hill_climber knapPI_16_200_1000_4 100000 6 14748
hill_climber knapPI_16_200_1000_4 100000 7 14225
hill_climber knapPI_16_200_1000_4 100000 8 14081
hill_climber knapPI_16_200_1000_4 100000 9 14889
hill_climber knapPI_16_200_1000_4 100000 10 14765
hill_climber knapPI_16_200_1000_4 100000 11 14088
hill_climber knapPI_16_200_1000_4 100000 12 14072
hill_climber knapPI_16_200_1000_4 100000 13 14342
hill_climber knapPI_16_200_1000_4 100000 14 13870
hill_climber knapPI_16_200_1000_4 100000 15 14428
hill_climber knapPI_16_200_1000_4 100000 16 14849
hill_climber knapPI_16_200_1000_4 100000 17 14757
hill_climber knapPI_16_200_1000_4 100000 18 13889
hill_climber knapPI_16_200_1000_4 100000 19 14910
hill_climber knapPI_16_200_1000_4 100000 20 14739
hill_climber knapPI_16_200_1000_4 100000 21 14851
hill_climber knapPI_16_200_1000_4 100000 22 14711
hill_climber knapPI_16_200_1000_4 100000 23 14996
hill_climber knapPI_16_200_1000_4 100000 24 14345
hill_climber knapPI_16_200_1000_4 100000 25 14674
hill_climber knapPI_16_200_1000_4 100000 26 14744
hill_climber knapPI_16_200_1000_4 100000 27 14939
hill_climber knapPI_16_200_1000_4 100000 28 14257
hill_climber knapPI_16_200_1000_4 100000 29 14075
random_search knapPI_11_20_1000_4 100000 0 1400
random_search knapPI_11_20_1000_4 100000 1 1440
random_search knapPI_11_20_1000_4 100000 2 1400
random_search knapPI_11_20_1000_4 100000 3 1440
random_search knapPI_11_20_1000_4 100000 4 1440
random_search knapPI_11_20_1000_4 100000 5 1400
random_search knapPI_11_20_1000_4 100000 6 1400
random_search knapPI_11_20_1000_4 100000 7 1440
random_search knapPI_11_20_1000_4 100000 8 1440
random_search knapPI_11_20_1000_4 100000 9 1400
random_search knapPI_11_20_1000_4 100000 10 1440
random_search knapPI_11_20_1000_4 100000 11 1440
random_search knapPI_11_20_1000_4 100000 12 1400
