Search_method Problem Max_evals Run Score
hill_climber_with_restarts knapPI_11_20_1000_4 100000 0 1320
hill_climber_with_restarts knapPI_11_20_1000_4 100000 1 1360
hill_climber_with_restarts knapPI_11_20_1000_4 100000 2 1440
hill_climber_with_restarts knapPI_11_20_1000_4 100000 3 1400
hill_climber_with_restarts knapPI_11_20_1000_4 100000 4 1320 
hill_climber_with_restarts knapPI_11_20_1000_4 100000 5 1400
hill_climber_with_restarts knapPI_11_20_1000_4 100000 6 1400
hill_climber_with_restarts knapPI_11_20_1000_4 100000 7 1440
hill_climber_with_restarts knapPI_11_20_1000_4 100000 8 1280
hill_climber_with_restarts knapPI_11_20_1000_4 100000 9 1400
hill_climber_with_restarts knapPI_11_20_1000_4 100000 10 1400
hill_climber_with_restarts knapPI_11_20_1000_4 100000 11 1320
hill_climber_with_restarts knapPI_11_20_1000_4 100000 12 1400
hill_climber_with_restarts knapPI_11_20_1000_4 100000 13 1360
hill_climber_with_restarts knapPI_11_20_1000_4 100000 14 1400
hill_climber_with_restarts knapPI_11_20_1000_4 100000 15 1400
hill_climber_with_restarts knapPI_11_20_1000_4 100000 16 1400
hill_climber_with_restarts knapPI_11_20_1000_4 100000 17 1440
hill_climber_with_restarts knapPI_11_20_1000_4 100000 18 1400
hill_climber_with_restarts knapPI_11_20_1000_4 100000 19 1440
hill_climber_with_restarts knapPI_11_20_1000_4 100000 20 1400
hill_climber_with_restarts knapPI_11_20_1000_4 100000 21 1400
hill_climber_with_restarts knapPI_11_20_1000_4 100000 22 1440
hill_climber_with_restarts knapPI_11_20_1000_4 100000 23 1440
hill_climber_with_restarts knapPI_11_20_1000_4 100000 24 1400
hill_climber_with_restarts knapPI_11_20_1000_4 100000 25 1400
hill_climber_with_restarts knapPI_11_20_1000_4 100000 26 1400
hill_climber_with_restarts knapPI_11_20_1000_4 100000 27 1360
hill_climber_with_restarts knapPI_11_20_1000_4 100000 28 1400
hill_climber_with_restarts knapPI_11_20_1000_4 100000 29 1400
hill_climber_with_restarts knapPI_13_20_1000_4 100000 0 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 1 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 2 890
hill_climber_with_restarts knapPI_13_20_1000_4 100000 3 889
hill_climber_with_restarts knapPI_13_20_1000_4 100000 4 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 5 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 6 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 7 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 8 889
hill_climber_with_restarts knapPI_13_20_1000_4 100000 9 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 10 889
hill_climber_with_restarts knapPI_13_20_1000_4 100000 11 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 12 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 13 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 14 890
hill_climber_with_restarts knapPI_13_20_1000_4 100000 15 889
hill_climber_with_restarts knapPI_13_20_1000_4 100000 16 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 17 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 18 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 19 889
hill_climber_with_restarts knapPI_13_20_1000_4 100000 20 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 21 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 22 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 23 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 24 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 25 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 26 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 27 907
hill_climber_with_restarts knapPI_13_20_1000_4 100000 28 889
hill_climber_with_restarts knapPI_13_20_1000_4 100000 29 907
hill_climber_with_restarts knapPI_16_20_1000_4 100000 0 2557
hill_climber_with_restarts knapPI_16_20_1000_4 100000 1 2489
hill_climber_with_restarts knapPI_16_20_1000_4 100000 2 2682
hill_climber_with_restarts knapPI_16_20_1000_4 100000 3 2597
hill_climber_with_restarts knapPI_16_20_1000_4 100000 4 2651
hill_climber_with_restarts knapPI_16_20_1000_4 100000 5 2538
hill_climber_with_restarts knapPI_16_20_1000_4 100000 6 2557
hill_climber_with_restarts knapPI_16_20_1000_4 100000 7 2593
hill_climber_with_restarts knapPI_16_20_1000_4 100000 8 2542
hill_climber_with_restarts knapPI_16_20_1000_4 100000 9 2449
hill_climber_with_restarts knapPI_16_20_1000_4 100000 10 2557
hill_climber_with_restarts knapPI_16_20_1000_4 100000 11 2453
hill_climber_with_restarts knapPI_16_20_1000_4 100000 12 2651
hill_climber_with_restarts knapPI_16_20_1000_4 100000 13 2141
hill_climber_with_restarts knapPI_16_20_1000_4 100000 14 2489
hill_climber_with_restarts knapPI_16_20_1000_4 100000 15 2731
hill_climber_with_restarts knapPI_16_20_1000_4 100000 16 2651
hill_climber_with_restarts knapPI_16_20_1000_4 100000 17 2453
hill_climber_with_restarts knapPI_16_20_1000_4 100000 18 2893
hill_climber_with_restarts knapPI_16_20_1000_4 100000 19 2597
hill_climber_with_restarts knapPI_16_20_1000_4 100000 20 2893
hill_climber_with_restarts knapPI_16_20_1000_4 100000 21 2593
hill_climber_with_restarts knapPI_16_20_1000_4 100000 22 2489
hill_climber_with_restarts knapPI_16_20_1000_4 100000 23 2893
hill_climber_with_restarts knapPI_16_20_1000_4 100000 24 2593
hill_climber_with_restarts knapPI_16_20_1000_4 100000 25 2489
hill_climber_with_restarts knapPI_16_20_1000_4 100000 26 2651
hill_climber_with_restarts knapPI_16_20_1000_4 100000 27 2651
hill_climber_with_restarts knapPI_16_20_1000_4 100000 28 2682
hill_climber_with_restarts knapPI_16_20_1000_4 100000 29 2395
hill_climber_with_restarts knapPI_11_200_1000_4 100000 0 5140
hill_climber_with_restarts knapPI_11_200_1000_4 100000 1 5140
hill_climber_with_restarts knapPI_11_200_1000_4 100000 2 5140
hill_climber_with_restarts knapPI_11_200_1000_4 100000 3 5140
hill_climber_with_restarts knapPI_11_200_1000_4 100000 4 5140
hill_climber_with_restarts knapPI_11_200_1000_4 100000 5 5020
hill_climber_with_restarts knapPI_11_200_1000_4 100000 6 5180
hill_climber_with_restarts knapPI_11_200_1000_4 100000 7 5140
hill_climber_with_restarts knapPI_11_200_1000_4 100000 8 5180
hill_climber_with_restarts knapPI_11_200_1000_4 100000 9 5140
hill_climber_with_restarts knapPI_11_200_1000_4 100000 10 5020
hill_climber_with_restarts knapPI_11_200_1000_4 100000 11 5140
hill_climber_with_restarts knapPI_11_200_1000_4 100000 12 5020
hill_climber_with_restarts knapPI_11_200_1000_4 100000 13 5140
hill_climber_with_restarts knapPI_11_200_1000_4 100000 14 5100
hill_climber_with_restarts knapPI_11_200_1000_4 100000 15 5140
hill_climber_with_restarts knapPI_11_200_1000_4 100000 16 5180
hill_climber_with_restarts knapPI_11_200_1000_4 100000 17 5180
hill_climber_with_restarts knapPI_11_200_1000_4 100000 18 5100
hill_climber_with_restarts knapPI_11_200_1000_4 100000 19 5100
hill_climber_with_restarts knapPI_11_200_1000_4 100000 20 5140
hill_climber_with_restarts knapPI_11_200_1000_4 100000 21 5060
hill_climber_with_restarts knapPI_11_200_1000_4 100000 22 5180
hill_climber_with_restarts knapPI_11_200_1000_4 100000 23 5140
hill_climber_with_restarts knapPI_11_200_1000_4 100000 24 5140
hill_climber_with_restarts knapPI_11_200_1000_4 100000 25 5060
hill_climber_with_restarts knapPI_11_200_1000_4 100000 26 5100
hill_climber_with_restarts knapPI_11_200_1000_4 100000 27 5100
hill_climber_with_restarts knapPI_11_200_1000_4 100000 28 5100
hill_climber_with_restarts knapPI_11_200_1000_4 100000 29 5100
hill_climber_with_restarts knapPI_13_200_1000_4 100000 0 3637
hill_climber_with_restarts knapPI_13_200_1000_4 100000 1 3637
hill_climber_with_restarts knapPI_13_200_1000_4 100000 2 3663
hill_climber_with_restarts knapPI_13_200_1000_4 100000 3 3663
hill_climber_with_restarts knapPI_13_200_1000_4 100000 4 3663
hill_climber_with_restarts knapPI_13_200_1000_4 100000 5 3637
hill_climber_with_restarts knapPI_13_200_1000_4 100000 6 3637
hill_climber_with_restarts knapPI_13_200_1000_4 100000 7 3637
hill_climber_with_restarts knapPI_13_200_1000_4 100000 8 3663
hill_climber_with_restarts knapPI_13_200_1000_4 100000 9 3637
hill_climber_with_restarts knapPI_13_200_1000_4 100000 10 3637
hill_climber_with_restarts knapPI_13_200_1000_4 100000 11 3637
hill_climber_with_restarts knapPI_13_200_1000_4 100000 12 3620
hill_climber_with_restarts knapPI_13_200_1000_4 100000 13 3663
hill_climber_with_restarts knapPI_13_200_1000_4 100000 14 3663
hill_climber_with_restarts knapPI_13_200_1000_4 100000 15 3637
